objectid,codigo-departamento,codigo-municipio,location,latitude,longitude,title,nombre-alcalde,presidente-jal,partido-presidente-jal,no-ediles-localidad,habitantes,hectareas,colegios,no-hospitales,no-centros-comerciales,no-parques,puntos-criticos,manzanas-cuidado,no-ecas,ecas-activas,ecas-inactivas,no-bodegas,bodegas-activas,bodegas-inactivas,secure_url,archivo,format,type,filename
antnari_1,11,110111,Bogota,"4,5897378","-74,1171664",ANTONIO NARINO,Manuel  Augusto Calderón Ramrez,Edna Arteaga,PARTIDO LIBERAL COLOMBIANO,7,109.104 ,488 ,5,3,3,7,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://bogota.gov.co/sites/default/files/styles/1050px/public/2019-08/parque.jpg,image/jepg,image,antnari_1.jpg
barriosun_2,11,110111,Bogota,"4,651542","-74,0692338",BARRIOS UNIDOS,Antonio Carrillo,Carlos Javier Castillo,PARTIDO LIBERAL COLOMBIANO,9,153.342 ,1.190 ,9,5,,74,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://1.bp.blogspot.com/-kNHnpbsMGFo/TdaG8Y18MiI/AAAAAAAAADM/f2sthy4WPB8/s1600/cucuta-parque-simon-bolivar-l6.jpg,image/jepg,image,barriosun_2.jpg
bosa_3,11,110111,Bogota,"4,60655","-74,2034793",BOSA,Lizeth Jahira González Vargas,Alvaro Gómez,PARTIDO CENTRO DEMOCRÁTICO,9,823.041 ,2.466 ,32,2,4,259,,2,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://momento24.co/wp-content/uploads/2020/08/bosa-localidad-min.jpg,image/jepg,image,bosa_3.jpg
chap_4,11,110111,Bogota,"4,6465824","-74,0571688",CHAPINERO,Óscar Yesid Ramos Calderón,María Paz Buitrago,PARTIDO CENTRO DEMOCRÁTICO,7,150.741 ,3.801 ,3,4,0,162,16,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://www.ciencuadras.com/blog/wp-content/uploads/2020/02/calles-de-Chapinero--scaled.jpg,image/jepg,image,chap_4.jpg
ciubol_5,11,110111,Bogota,"4,5389493","-74,1397946",CIUDAD BOLIVAR,Tatiana Piñeros Laverde,Nancy  Roa,PARTIDO CAMBIO RADICAL,11,850.000 ,13.000 ,48,8,0,576,,2,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://radionacional-v3.s3.amazonaws.com/s3fs-public/node/article/field_image/Ciudad%20Bol%C3%ADvar%20Tour%201_0.jpg,image/jepg,image,ciubol_5.jpg
enga_6,11,110111,Bogota,"4,6725476","-74,1052066",ENGATIVA,Ángela María Moreno Torres:,Lina Ornella Pinzón,PARTIDO POLÍTICO MIRA,11,878.430 ,"3.606,4 ",137,1,7,555,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://bogota.gov.co/sites/default/files/styles/max_1300x1300/public/inline-images/parques-engativa.jpeg,image/jepg,image,enga_6.jpg
font_7,11,110111,Bogota,"4,6920545","-74,1475572",FONTIBON,Diego Alejandro Maldonado,Gerardo Montero,PARTIDO POLO DEMOCRÁTICO ALTERNATIVO,9,444.951 ,3.328 ,11,1,0,261,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://i.ytimg.com/vi/2HGfzJ4OCok/maxresdefault.jpg,image/jepg,image,font_7.jpg
kennedy_8,11,110111,Bogota,"4,6351257","-74,1571778",KENNEDY,Yeimy Carolina Agudelo Hernández,Milton Peña,PARTIDO ALIANZA VERDE,11,1.250.000 ,3.855 ,46,12,4,523,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://bogota.gov.co/sites/default/files/styles/1050px/public/eventos/2019-11/cumpleanos-de-kennedy.jpg,image/jepg,image,kennedy_8.jpg
candel_9,11,110111,Bogota,"4,5905754","-74,0726172",CANDELARIA,Ángela María Quiroga Castro,Juan Carlos Mahecha,PARTIDO CENTRO DEMOCRÁTICO,7,18.143 ,1.830 ,2,1,2,3,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://2.bp.blogspot.com/-oP3XG1C-LSk/Tk4RnKeZ_mI/AAAAAAAAAa4/BWti5um4Cg4/s1600/calle_en_la_candelaria_2.jpg,image/jepg,image,candel_9.jpg
martir_10,11,110111,Bogota,"4,612582","-74,0778611",LOS MARTIRES,Juan Rachif Cabarcas Rahman,Devis Gonzalez,PARTIDO CENTRO DEMOCRÁTICO,7,99.792 ,651 ,8,1,7,47,4,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://www.eltiempo.com/uploads/2019/10/11/5da091b03aad5.jpeg,image/jepg,image,martir_10.jpg
ptearan_11,11,110111,Bogota,"4,6006724","-74,1272536",PUENTE ARANDA,"Juan Pablo Beltrán Vargas,",Edison Exneyer Rodríguez,PARTIDO ALIANZA VERDE,11,231.090 ,1.731 ,15,3,6,270,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,http://www.bogotatravelguide.com/Imagenes/puente-aranda-localidad-dieciseis-003.jpg,image/jepg,image,ptearan_11.jpg
rafaur_12,11,110111,Bogota,"4,5440373","-74,1185478",RAFAEL URIBE URIBE,Eduard Humberto Quintana Arellano,Jorge Ortíz,PARTIDO CENTRO DEMOCRÁTICO,11,386.696 ,1344,28,2,1,254,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://bogota.gov.co/sites/default/files/styles/1050px/public/2019-10/localidad-rafael-uribe-uribe.jpg,image/jepg,image,rafaur_12.jpg
sancrist_13,11,110111,Bogota,"4,5445313","-74,0881789",SAN CRISTOBAL,Juan Carlos Triana Rubiano,Miguel Angel Espeleta,PARTIDO LIBERAL COLOMBIANO,11,410.092 ,4.909 ,36,4,2,272,,2,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://wikiwandv2-19431.kxcdn.com/_next/image?url=https:%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2Fa%2Fa8%2FSn_Cris_jul_2018.jpeg%2F1500px-Sn_Cris_jul_2018.jpeg&w=1080&q=50,image/jepg,image,sancrist_13.jpg
sfe_14,11,110111,Bogota,"4,5849272","-74,0785118",SANTA FÉ,Diego Alejandro Maldonado,Ana Sabogal,MOVIMIENTO POLÍTICO COLOMBIA HUMANA ,7,100.000 ,"45,17 ",8,1,1,85,35,0,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,http://argentinamunicipal.com.ar/argentina/wp-content/uploads/2020/10/santafe-e1602694214725-2400x1524_c.jpg,image/jepg,image,sfe_14.jpg
suba_15,11,110111,Bogota,"4,5944352","-74,1892879",SUBA,Ana Isabel Hortua Salcedo,Yeison Javier Sepúlveda,PARTIDO CENTRO DEMOCRÁTICO,11,1.252.675 ,10.056 ,29,5,20,3,27,0,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://www.todoenlarevista.com/wp-content/uploads/2020/05/suba-1200x480.jpg,image/jepg,image,suba_15.jpg
sumap_16,11,110111,Bogota,0,0,SUMAPAZ,Sebastián Saldarriaga Rivera,Jenny Pulido,PARTIDO LIBERAL COLOMBIANO,7,3.275 ,78.095 ,2,0,0,4,,0,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://bogotadc.travel/drpl/sites/default/files/2020-10/sumapaz-1.jpg,image/jepg,image,sumap_16.jpg
teus_17,11,110111,Bogota,"4,627196","-74,0814084",TEUSAQUILLO,Rosa Isabel Montero Torres:,Marcela León,PARTIDO NUEVO LIBERALISMO,9,155.000 ,1.421 ,2,0,0,132,,0,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://i.pinimg.com/originals/ff/bc/fd/ffbcfdafa81e8d6fb2877011b7e3a4f3.jpg,image/jepg,image,teus_17.jpg
tunj_18,11,110111,Bogota,"4,5624076","-74,1314118",TUNJUELITO,Joseph Plaza Pinilla,Hernan Reyes,PARTIDO LIBERAL COLOMBIANO,9,183.067 ,991 ,13,4,4,29,,1,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://www.semana.com/resizer/NS31vmKccoFYtCo_c284KVAkRdo=/1200x675/filters:format(jpg):quality(50)/cloudfront-us-east-1.images.arcpublishing.com/semana/ZENLKGNXL5FUZCFEOP7ZIS3SSE.jpg,image/jepg,image,tunj_18.jpg
usaq_19,11,110111,Bogota,"4,7628827","-74,0282968",USAQUEN,Susy Herney Segura Corredin,Corone.l Jesús Vivas,PARTIDO CENTRO DEMOCRÁTICO,11,502.000 ,6.550 ,12,1,16,10,22,0,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://cloudfront-us-east-1.images.arcpublishing.com/semana/RA47E2VEMVD4LFVYTCTTP7ICJY.jpg,image/jepg,image,usaq_19.jpg
usme_20,11,110111,Bogota,"4,4862764","-74,1006156",USME,Dorian de Jesús Coquies Maestre,Darwin Peña,PARTIDO LIBERAL COLOMBIANO,9,415.000 ,"122,63 ",64,2,0,8,14,0,0,0,0,0,0,0,https://asivaelplan.sdp.gov.co/,https://i.ytimg.com/vi/GbCmehp9juc/maxresdefault.jpg,image/jepg,image,usme_20.jpg